directory,file_name,variable_name,variable_type,description
data,mwfertiliserpilot.rda,start,double,Survey start
data,mwfertiliserpilot.rda,end,double,Survey end
data,mwfertiliserpilot.rda,today,double,Survey date
data,mwfertiliserpilot.rda,consent,character,Do you give consent to proceed with this survey?
data,mwfertiliserpilot.rda,village_name,character,Please enter the name of the village.
data,mwfertiliserpilot.rda,gvh_name,character,Please enter the name of the group village head (GVH).
data,mwfertiliserpilot.rda,ta_name,character,Please enter the name of the traditional authority (TA).
data,mwfertiliserpilot.rda,farmer_gender,character,Please enter the farmer's gender.
data,mwfertiliserpilot.rda,farmer_age,double,Please enter the farmer's age.
data,mwfertiliserpilot.rda,farmer_hoh,character,Are you the head of the household?
data,mwfertiliserpilot.rda,hoh_education,character,What is your highest level of education?
data,mwfertiliserpilot.rda,n_years_farming,character,How many years have you been farming?
data,mwfertiliserpilot.rda,own_livestock,character,"Do you own any livestock (cows, chickens, pigs, etc.)?"
data,mwfertiliserpilot.rda,own_livestock_animals,character,Do you own...?
data,mwfertiliserpilot.rda,own_livestock_animals.cows,integer,NA
data,mwfertiliserpilot.rda,own_livestock_animals.chickens,integer,NA
data,mwfertiliserpilot.rda,own_livestock_animals.pigs,integer,NA
data,mwfertiliserpilot.rda,own_livestock_animals.goats,integer,NA
data,mwfertiliserpilot.rda,own_livestock_animals.sheep,integer,NA
data,mwfertiliserpilot.rda,own_livestock_animals.other,integer,NA
data,mwfertiliserpilot.rda,farming_main_income,character,Is farming your household's main source of income?
data,mwfertiliserpilot.rda,household_main_income,character,What is your household's main source of income?
data,mwfertiliserpilot.rda,n_acres_farm,double,How large is your farm (in acres)?
data,mwfertiliserpilot.rda,n_acres_maize,double,How much area is dedicated to maize farming (in acres)?
data,mwfertiliserpilot.rda,source_water_farm,character,Is this area rain-fed or part of an irrigation scheme?
data,mwfertiliserpilot.rda,chem_fertilizer,character,Did you apply chemical fertilizer this year?
data,mwfertiliserpilot.rda,chem_fertilizer_type,character,What chemical fertilizer do you use?
data,mwfertiliserpilot.rda,n_bags_npk,double,How many bags of NPK did you apply THIS YEAR?
data,mwfertiliserpilot.rda,n_bags_npk_subsidized,double,How many of those were subsidised?
data,mwfertiliserpilot.rda,price_bags_npk_nonsubsidized,double,How much did you pay for a full-priced bag of NPK?
data,mwfertiliserpilot.rda,price_bags_npk_subsidized,double,How much did you pay for a subsidised bag of NPK?
data,mwfertiliserpilot.rda,enough_bags_npk,character,Was this enough NPK to meet your needs?
data,mwfertiliserpilot.rda,n_bags_npk_desired,double,How many bags of NPK would you have liked?
data,mwfertiliserpilot.rda,n_bags_npk_buying_next_year,double,How many bags of NPK will you try to buy for the coming year?
data,mwfertiliserpilot.rda,n_bags_urea,double,How many bags of urea did you apply THIS YEAR?
data,mwfertiliserpilot.rda,n_bags_urea_subsidized,double,How many of those were subsidised?
data,mwfertiliserpilot.rda,price_bags_urea_nonsubsidized,double,How much did you pay for a full-priced bag of urea?
data,mwfertiliserpilot.rda,price_bags_urea_subsidized,double,How much did you pay for a subsidised bag of urea?
data,mwfertiliserpilot.rda,enough_bags_urea,character,Was this enough urea to meet your needs?
