start,end,today,consent,village_name,gvh_name,ta_name,farmer_gender,farmer_age,farmer_hoh,hoh_education,n_years_farming,own_livestock,own_livestock_animals,own_livestock_animals.cows,own_livestock_animals.chickens,own_livestock_animals.pigs,own_livestock_animals.goats,own_livestock_animals.sheep,own_livestock_animals.other,farming_main_income,household_main_income,n_acres_farm,n_acres_maize,source_water_farm,chem_fertilizer,chem_fertilizer_type,n_bags_npk,n_bags_npk_subsidized,price_bags_npk_nonsubsidized,price_bags_npk_subsidized,enough_bags_npk,n_bags_npk_desired,n_bags_npk_buying_next_year,n_bags_urea,n_bags_urea_subsidized,price_bags_urea_nonsubsidized,price_bags_urea_subsidized,enough_bags_urea,n_bags_urea_desired,n_bags_urea_buying_next_year,able_buy_bags_past,n_bags_maize_t1_season,n_bags_maize_t2_season,n_bags_maize_t3_season,fertilizer_comparison_5years,same_tool_for_fertilizer,single_tool_fertilizer,single_tool_fertilizer_other,tool_basal_fertilizer,tool_basal_fertilizer_other,tool_topdressing_fertilizer,tool_topdressing_fertilizer_other,timing_fertilizer,timing_fertilizer_mix_ntimes,timing_fertilizer_mix,timing_fertilizer_mix_other,place_fertilizer_mix,place_fertilizer_mix_other,ratio_fertilizer_mix_npk,ratio_fertilizer_mix_urea,timing_fertilizer_mix_t1,timing_fertilizer_mix_t1_other,place_fertilizer_mix_t1,place_fertilizer_mix_t1_other,ratio_fertilizer_mix_t1_npk,ratio_fertilizer_mix_t1_urea,timing_fertilizer_mix_t2,timing_fertilizer_mix_t2_other,place_fertilizer_mix_t2,place_fertilizer_mix_t2_other,ratio_fertilizer_mix_t2_npk,ratio_fertilizer_mix_t2_urea,timing_basal_fertilizer,timing_basal_fertilizer_other,place_basal_fertilizer,place_basal_fertilizer_other,timing_topdressing,timing_topdressing_other,place_topdressing,place_topdressing_other,basal_fertilizer_grams,topdressing_fertilizer_grams,know_recommended_tools,reason_no_use_scoop,reason_no_use_scoop_other,would_use_scoop_if_given,would_use_scoop_if_available,wtp_scoop,selling_points_scoop,selling_points_scoop_location,know_price_scoop,price_scoop,type_seed,n_seeds,planting_distance,ridges_distance,several_plants_emerging,intercropping,intercrop_type,intercrop_type_other,pesticide_use,fertilizer_subsidy_received,concern_fertilizer_removed,concern_fertilizer_removed_explain,fertilizer_programme_effective,fertilizer_programme_improvements,fertilizer_programme_improvements_explain,apply_org_fertilizer,origin_org_fertilizer,how_apply_org_fertilizer,challenges_org_fertilizer,type_challenges_org_fertilizer,type_challenges_org_fertilizer_other,sufficient_org_fertilizer,subsidies_org_fertilizer,health_soil_now,health_soil_t10,reasons_changes,suggestions_soil_improvement,final_comments,end_message,uuid
2024-07-29T09:07:48Z,2024-07-29T09:31:08Z,2024-07-29,Yes,Blantyre,Chunga,Somba,Female,75,Yes,Primary,More than 5 years,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,2,2,Rain-fed,Yes,Both,1,1,NA,15000,No,3,1,1,1,NA,15000,No,3,1,No,2,10,15,More,Yes,Hands,NA,NA,NA,NA,NA,At different times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soon after germination,NA,Close (ca. 10cm) to the planting station,NA,28 days after basal application,NA,Close (ca. 10cm) to the planting station,NA,NA,10.099999999999998,No,Other,I have no idea that they exist,Yes,Yes,300,No,NA,No,NA,Local variety,2 seeds,47,89,Yes,Yes,Beans,NA,No,Yes,Very concerned,We cannot afford to buy fertilizer,No,Not sure,NA,Yes,Buying compost from producers,Mix with chemical fertilizers and apply,Yes,Difficult to apply,NA,No,Yes,Very healthy,NA,When fertilizer is applied I haverst alot,Applying manure before planting maize,No,NA,74b7acbc-fae3-4bb8-9369-9c1b55d46f5d
2024-07-29T09:08:49Z,2024-07-29T09:35:21Z,2024-07-29,Yes,Chiunga,Mwangata,Nsomba,Female,32,Yes,Secondary,More than 5 years,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,0.5,0.5,Rain-fed,Yes,NPK,0.2,0,22000,NA,No,1,1,NA,NA,NA,NA,NA,NA,1,No,0.5,4,7,More,Yes,"Metal bottle top with the lining (e.g., Fanta, Coca Cola, etc.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Don't know where to buy one,NA,Yes,Yes,200,No,NA,No,NA,Local variety,2 seeds,50,90,Yes,Yes,Pigeon Peas,NA,No,No,Not concerned,I have never received,No,Yes,Decrease the price of fertilizer for everyone rather than using coupon,Yes,Making own composite from organic residues,Mix with chemical fertilizers and apply,Yes,Difficult to apply,NA,No,Yes,Unhealthy,NA,We rely on fertilizer,Apply enough manure,"If the government cannot manage to give coupons for everyone, it is better to reduce the price for everyone",NA,0986b18a-69b0-49f5-a3e7-2a30acee4fbf
2024-07-29T09:47:32Z,2024-07-29T10:23:36Z,2024-07-29,Yes,Blantyre,Chunga,Somba,Female,33,Yes,Secondary,Between 2 and 5 years,Yes,chickens,0,1,0,0,0,0,Yes,NA,3,3,Rain-fed,Yes,Both,0.1,0,22000,NA,No,2,2,1,0,52500,NA,No,2,2,Yes,0.8,15,7,More,Yes,"Metal bottle top with the lining (e.g., Fanta, Coca Cola, etc.)",NA,NA,NA,NA,NA,At different times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soon after germination,NA,Close (ca. 10cm) to the planting station,NA,7 days after basal application,NA,Close (ca. 10cm) to the planting station,NA,8,4.6,No,Other,Have no idea that they exist,Yes,Yes,500,No,NA,No,NA,Hybrid,2 seeds,37.5,88.4,Yes,Yes,Other,Vegetables and beans,No,No,Very concerned,We are used and we cannot afford but if the can remove and lower the prices so that every can manage we cannot be any concerns,No,Not sure,NA,Yes,Making own composite from organic residues,Apply between the the ridges before making the ridges,Yes,Not able to buy/produce enough,NA,No,Yes,Very unhealthy,NA,Even after applying fertilizer and manure I still harvest small amount of maize,Applying manure every year before planting for 5 consecutive years,"
Asking what is the aim of this project",She asked if its possible they would have loved to be thought after our findings,05bccb54-6329-40b6-920e-45de51819e76
2024-07-29T10:09:02Z,2024-07-29T10:35:59Z,2024-07-29,Yes,Chunga,Mwangata,Somba,Female,21,Yes,Secondary,Between 2 and 5 years,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,1,1,Rain-fed,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,0.5,3,5,More,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Other,I do not know it,Yes,Yes,500,No,NA,No,NA,Local variety,2 seeds,50,90,Yes,Yes,Beans,NA,No,No,Not concerned,We do not receive,No,Yes,Proper planning to reach everyone,Yes,Buying compost from producers,Apply in planting stations before planting,Yes,Other,Maize dries up,No,Yes,Unhealthy,NA,Fertilizer application,"If it is fertilizer only fertilizer has to be applied, if it is manure only manure has to be applied",No,NA,edc6c07b-6d5f-4f3c-a37b-9db7b2d64b0b
2024-07-29T12:16:03Z,2024-07-29T12:30:16Z,2024-07-29,Yes,Chikoja,Jana,Somba,Male,39,Yes,Secondary,More than 5 years,Yes,chickens,0,1,0,0,0,0,No,Informal employment (self),1.5,1.5,Rain-fed,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,4,5,7,More,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Don't know where to buy one,NA,Yes,Yes,500,No,NA,No,NA,Hybrid,2 seeds,40,40,Yes,Yes,Beans,NA,No,No,Concerned,We cannot afford to buy fertilizer,No,Yes,Everyone has to be registered door to door,Yes,Buying manure,Apply in planting stations before planting,Yes,Other,It does not give much yields as desired,No,Yes,Unhealthy,NA,Lack of fertilizer,Applying manure and fertilizer,No,NA,dc493816-1d5e-4860-a2e7-6f8bdb4e050b
2024-07-29T12:35:05Z,2024-07-29T12:56:26Z,2024-07-29,Yes,Chikowa,Jana,Somba,Male,25,No,Secondary,More than 5 years,No,NA,NA,NA,NA,NA,NA,NA,No,Informal employment (self),3,3,Rain-fed,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,2.5,4,6,More,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Other,I do not know the scoops,Yes,No,500,No,NA,No,NA,OPV (Open Pollinated Varieties),2 seeds,50,70,Yes,Yes,Beans,NA,Yes,No,Very concerned,Fertilizer is expensive,No,Not sure,NA,Yes,Buying manure,Apply in planting stations before planting,No,NA,NA,No,Yes,Unhealthy,NA,Low yields,Avoid burning maize husks but burying under the soil,No,NA,f5c6380e-1e42-4347-b044-9c20bf66c598
2024-07-29T13:06:39Z,2024-07-29T13:23:30Z,2024-07-29,Yes,Chikowa,Jana,Somba,Female,30,Yes,Secondary,More than 5 years,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,4,4,Rain-fed,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,4,15,17,More,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Don't know where to buy one,NA,Yes,Yes,1000,No,NA,No,NA,Local variety,2 seeds,40,80,Yes,Yes,Pigeon Peas,NA,No,No,Very concerned,Fertilizer is expensive,No,Not sure,NA,Yes,Buying manure,Apply in planting stations before planting,Yes,Other,Maize does not germinate sometimes,No,Yes,Unhealthy,NA,We harvest low yields,Fertilizer should be made available,No,NA,cb94344d-42c5-41a3-8d64-5bbd61a6857a
2024-07-29T11:57:29Z,2024-07-29T13:30:34Z,2024-07-29,Yes,Blantyre,Nkwapatila,Nsomba,Female,32,Yes,Primary,More than 5 years,Yes,chickens,0,1,0,0,0,0,No,Informal employment (self),0.5,0.5,Rain-fed,Yes,Both,1,1,NA,15000,Yes,NA,1,1,1,NA,15000,Yes,NA,1,Yes,2,10,15,Same,Yes,Teaspoon,NA,NA,NA,NA,NA,At different times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Soon after germination,NA,In the middle of two planting stations,NA,28 days after basal application,NA,In the middle of two planting stations,NA,10.7,8.399999999999999,No,Other,I had no idea that they exist,Yes,Yes,100,No,NA,No,NA,Hybrid,2 seeds,30.5,83.5,Yes,Yes,Beans,NA,No,Yes,Very concerned,Things are expensive now we cannot manage,Not sure,Not sure,NA,No,NA,NA,NA,NA,NA,No,Yes,Moderately healthy,NA,Sometimes we harvest more sometimes not,Applying manure,Asking the aim of our project,NA,c8df14fd-f0f0-403e-99a1-98fd89096bfe
2024-07-29T12:16:50Z,2024-07-29T13:31:21Z,2024-07-29,Yes,Blantyre,Nkwapatila,Nsomba,Female,24,Yes,Primary,Between 2 and 5 years,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,0.5,0.5,Rain-fed,Yes,Both,0.1,0,10500,NA,Yes,NA,NA,0.1,0,10500,NA,Yes,NA,1,No,0.6,3,0,More,Yes,"Plastic bottle top of 330ml bottle (e.g., 330ml soft drink)",NA,NA,NA,NA,NA,At the same time,Once,21 days after germination,NA,In the middle of two planting stations,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Mine is just as good,NA,Yes,Yes,800,No,NA,No,NA,Hybrid,2 seeds,30.5,86.5,Yes,Yes,Pigeon Peas,NA,No,No,Very concerned,I cannot afford buying a bag of fertilizer,Not sure,Not sure,NA,No,NA,NA,NA,NA,NA,Not sure,Yes,Unhealthy,NA,Before planting I have to burn the resedual to cultivate more,Applying organic manure,No,NA,4383ece9-3869-4110-b560-5abcb762acbd
2024-07-29T12:33:58Z,2024-07-29T13:32:43Z,2024-07-29,Yes,Blantyre,Nkwapatila,Nsomba,Female,25,Yes,Secondary,More than 5 years,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,1,1,Rain-fed,Yes,Both,1,1,NA,15000,No,2,2,1,1,NA,15000,No,2,2,No,5,3,4,More,Yes,Teaspoon,NA,NA,NA,NA,NA,At different times,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7 days after germination,NA,Close (ca. 10cm) to the planting station,NA,21 days after basal application,NA,Close (ca. 10cm) to the planting station,NA,11.3,6.300000000000001,No,Other,I don't have any idea,Yes,Yes,250,No,NA,No,NA,Local variety,2 seeds,34,81,Yes,No,NA,NA,No,Yes,Very concerned,Its expensive and it can make us to be using only manure and it can affect our yielding,No,Yes,Lowering the prices of fertilizer,Yes,Making own composite from organic residues,Around the crops after germination,Yes,Not able to buy/produce enough,NA,Not sure,Yes,Moderately healthy,NA,It depends on manure to produce more maize,By applying manure,Thanking us for visiting her,NA,c2cf38eb-95ec-492e-9eb1-7716f7f77590
